dim,mean,std,p1,p5,p25,p50,p75,p95,p99
16,0.0963771790266037,0.31756511330604553,-0.7885867357254028,-0.4962494969367981,-0.08229479193687439,0.1076187863945961,0.32879120111465454,0.5625365972518921,0.6399887800216675
17,0.023512205109000206,0.36320242285728455,-0.8366349339485168,-0.6161684393882751,-0.1743205040693283,0.013081870041787624,0.20998252928256989,0.706840991973877,0.9133816957473755
18,0.09569888561964035,0.3150794506072998,-0.7859189510345459,-0.49628204107284546,-0.08008185774087906,0.10384634137153625,0.3259652853012085,0.563432514667511,0.63547283411026
19,0.006523928139358759,0.3327149450778961,-0.7646503448486328,-0.5691862106323242,-0.17662471532821655,-0.0120256831869483,0.1820608377456665,0.6444562673568726,0.8425136208534241
20,0.03550560399889946,0.11855095624923706,-0.2952765226364136,-0.19094166159629822,-0.028411012142896652,0.037811070680618286,0.1212783083319664,0.21505206823349,0.2492312639951706
21,0.01988782361149788,0.4715220332145691,-1.0885919332504272,-0.803249180316925,-0.2383902370929718,-0.00163053919095546,0.26812851428985596,0.9014334082603455,1.1719369888305664
22,-1.6379910903197015e-06,0.00030153573607094586,-0.0007314728572964668,-0.0005312865832820535,-0.00018278267816640437,2.2403503407986136e-07,0.0001936058106366545,0.0005158941494300961,0.0006994233699515462
23,-3.0137227895465912e-06,0.0005634835106320679,-0.0019709342159330845,-0.0009368573664687574,-0.00013010678230784833,4.574773629428819e-05,0.00022797545534558594,0.0006568991811946034,0.00138879066798836
24,-6.948713689780561e-06,0.0004833052516914904,-0.0014956394443288445,-0.0007844911306165159,-0.00018750355229713023,1.011977701637079e-06,0.00017617293633520603,0.0007575531490147114,0.001357715344056487
25,1.7325586409161793e-18,3.2554622758032914e-17,-1.267319611461676e-17,-5.2735593007950446e-18,-1.6653344997146072e-18,-3.129636159629258e-32,1.94289030136583e-18,6.383782507399936e-18,1.7114088941036325e-17
26,-2.436718471228483e-19,2.0425567557049462e-17,-1.406097522627045e-17,-5.828670697302337e-18,-1.94289030136583e-18,9.388908478887775e-33,1.6653344997146072e-18,5.2735593007950446e-18,1.1102230411687688e-17
27,-7.311312947422266e-05,0.0011654146946966648,-0.0001448276889277622,-5.1197039636170436e-14,4.5506175935208955e-15,4.551913977446668e-15,4.5542979516767154e-15,1.1579208898410565e-14,3.246639244025573e-05
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.5647880434989929,0.060731835663318634,0.4629376232624054,0.48379120230674744,0.5343619585037231,0.5543923377990723,0.5718876123428345,0.7168542146682739,0.7452130913734436
32,0.0052276356145739555,0.07558140158653259,-0.2052668184041977,-0.16071666777133942,-0.026862196624279022,-1.6657588275847957e-05,0.06747829914093018,0.10259003937244415,0.13479670882225037
33,0.5148298144340515,0.0022379145957529545,0.5095152258872986,0.5106237530708313,0.5138477087020874,0.51473069190979,0.5157895088195801,0.5192083120346069,0.5209586024284363
34,0.5698698163032532,0.056966934353113174,0.48596978187561035,0.5007801055908203,0.5417022109031677,0.5548813343048096,0.5658576488494873,0.7190122008323669,0.7190122008323669
35,0.09519622474908829,0.014426994137465954,0.0616854727268219,0.0616854727268219,0.09151893854141235,0.10151893645524979,0.10203245282173157,0.10645568370819092,0.10660973191261292
36,0.32494303584098816,3.070105321967276e-06,0.3249421715736389,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249429166316986,0.3249434232711792
37,0.5500000715255737,5.960464477539063e-08,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929
38,-0.10000001639127731,1.4901161193847656e-08,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612
39,0.30500003695487976,2.9802322387695312e-08,0.3050000071525574,0.3050000071525574,0.3050000071525574,0.3050000071525574,0.3050000071525574,0.3050000071525574,0.3050000071525574
40,0.0399983748793602,5.248276011116104e-06,0.03998163715004921,0.03999024257063866,0.03999612480401993,0.03999927267432213,0.04000081121921539,0.04000580683350563,0.040009599179029465
